Data
4.4;?;Johnson to Smith, no run;
4.3;2;Johnson to Smith, 2 runs;
4.2;?;Johnson to Smith, no run;
4.1;?;Johnson to Smith, no run;
3.6;W;Pattinson to Cobb, OUT;Josh Cobb c Warner b Pattinson 1 (18m 12b 0x4 0x6) SR: 8.33;
3.5;1;Pattinson to Smith, 1 run;
3.4;?;Pattinson to Smith, no run;
3.3;?;Pattinson to Smith, no run;
3.2;?;Pattinson to Smith, no run;
3.1;?;Pattinson to Smith, no run;
2.6;?;Johnson to Cobb, no run;
2.6;2nb;Johnson to Smith, (no ball) 1 run;
2.5;?;Johnson to Smith, no run;
2.4;1;Johnson to Cobb, 1 run;
2.3;?;Johnson to Cobb, no run;
2.2;?;Johnson to Cobb, no run;
2.1;?;Johnson to Cobb, no run;
1.6;?;Pattinson to Smith, no run;
1.5;?;Pattinson to Smith, no run;
1.5;1w;Pattinson to Smith, 1 wide;
1.4;4;Pattinson to Smith, FOUR runs;
1.3;?;Pattinson to Smith, no run;
1.2;?;Pattinson to Smith, no run;
1.1;?;Pattinson to Smith, no run;
0.6;?;Johnson to Cobb, no run;
0.5;?;Johnson to Cobb, no run;
0.4;?;Johnson to Cobb, no run;
0.3;?;Johnson to Cobb, no run;
0.2;?;Johnson to Cobb, no run;
0.1;?;Johnson to Cobb, no run;

 Innings Start
Tour Match, Leicester, Jun 21 2012, Australia tour of England and Ireland
241/8
136
Player of the match is 
