Data
21.6;?;Agar to Holden, no run;
21.5;?;Agar to Holden, no run;
21.4;1;Agar to Cartwright, 1 run;
21.3;?;Agar to Cartwright, no run;
21.2;1;Agar to Holden, 1 run;
21.1;4;Agar to Holden, FOUR runs;
20.6;?;Kane Richardson to Cartwright, no run;
20.5;4;Kane Richardson to Cartwright, FOUR runs;
20.4;?;Kane Richardson to Cartwright, no run;
20.3;2;Kane Richardson to Cartwright, 2 runs;
20.2;?;Kane Richardson to Cartwright, no run;
20.1;?;Kane Richardson to Cartwright, no run;
19.6;?;Agar to Holden, no run;
19.5;?;Agar to Holden, no run;
19.4;?;Agar to Holden, no run;
19.3;1;Agar to Cartwright, 1 run;
19.2;?;Agar to Cartwright, no run;
19.1;3;Agar to Holden, 3 runs;
18.6;?;Kane Richardson to Cartwright, no run;
18.5;?;Kane Richardson to Cartwright, no run;
18.4;?;Kane Richardson to Cartwright, no run;
18.3;?;Kane Richardson to Cartwright, no run;
18.2;1;Kane Richardson to Holden, 1 run;
18.1;?;Kane Richardson to Holden, no run;
17.6;?;Jhye Richardson to Cartwright, no run;
17.5;1;Jhye Richardson to Holden, 1 run;
17.4;1;Jhye Richardson to Cartwright, 1 run;
17.3;?;Jhye Richardson to Cartwright, no run;
17.2;?;Jhye Richardson to Cartwright, no run;
17.1;1;Jhye Richardson to Holden, 1 run;
16.6;?;Kane Richardson to Cartwright, no run;
16.5;4;Kane Richardson to Cartwright, FOUR runs;
16.4;1;Kane Richardson to Holden, 1 run;
16.3;1;Kane Richardson to Cartwright, 1 run;
16.2;?;Kane Richardson to Cartwright, no run;
16.1;1;Kane Richardson to Holden, 1 run;
15.6;?;Jhye Richardson to Cartwright, no run;
15.5;?;Jhye Richardson to Cartwright, no run;
15.4;1;Jhye Richardson to Holden, 1 run;
15.3;?;Jhye Richardson to Holden, no run;
15.2;1;Jhye Richardson to Cartwright, 1 run;
15.1;1;Jhye Richardson to Holden, 1 run;
14.6;?;Stanlake to Cartwright, no run;
14.6;1w;Stanlake to Cartwright, 1 wide;
14.5;?;Stanlake to Cartwright, no run;
14.4;4;Stanlake to Cartwright, FOUR runs;
14.3;?;Stanlake to Cartwright, no run;
14.2;4;Stanlake to Cartwright, FOUR runs;
14.1;1;Stanlake to Holden, 1 run;
13.6;1;Jhye Richardson to Holden, 1 run;
13.5;1;Jhye Richardson to Cartwright, 1 run;
13.4;?;Jhye Richardson to Cartwright, no run;
13.3;1;Jhye Richardson to Holden, 1 run;
13.2;2;Jhye Richardson to Holden, 2 runs;
13.1;?;Jhye Richardson to Holden, no run;
12.6;?;Stanlake to Cartwright, no run;
12.5;?;Stanlake to Cartwright, no run;
12.4;W;Stanlake to Scott, OUT;George Scott b Stanlake 2 (11m 10b 0x4 0x6) SR: 20;
12.3;?;Stanlake to Scott, no run;
12.2;?;Stanlake to Scott, no run;
12.1;?;Stanlake to Scott, no run;
11.6;?;Jhye Richardson to Holden, no run;
11.5;1;Jhye Richardson to Scott, 1 run;
11.4;?;Jhye Richardson to Scott, no run;
11.3;?;Jhye Richardson to Scott, no run;
11.2;?;Jhye Richardson to Scott, no run;
11.1;1;Jhye Richardson to Holden, 1 run;
10.6;?;Neser to Scott, no run;
10.5;1;Neser to Holden, 1 run;
10.4;?;Neser to Holden, no run;
10.3;?;Neser to Holden, no run;
10.2;1;Neser to Scott, 1 run;
10.1;1;Neser to Holden, 1 run;
9.6;W;Agar to Eskinazi, OUT;Stephen Eskinazi c JA Richardson b Agar 2 (6m 5b 0x4 0x6) SR: 40;
9.5;2;Agar to Eskinazi, 2 runs;
9.4;1;Agar to Holden, 1 run;
9.3;?;Agar to Holden, no run;
9.2;?;Agar to Holden, no run;
9.1;4;Agar to Holden, FOUR runs;
8.6;?;Neser to Eskinazi, no run;
8.5;?;Neser to Eskinazi, no run;
8.4;?;Neser to Eskinazi, no run;
8.3;W;Neser to Gubbins, OUT;Nick Gubbins c & b Neser 18 (37m 24b 1x4 1x6) SR: 75;
8.2;?;Neser to Gubbins, no run;
8.1;6;Neser to Gubbins, SIX runs;
7.6;?;Kane Richardson to Holden, no run;
7.5;?;Kane Richardson to Holden, no run;
7.4;?;Kane Richardson to Holden, no run;
7.3;?;Kane Richardson to Holden, no run;
7.2;1;Kane Richardson to Gubbins, 1 run;
7.1;?;Kane Richardson to Gubbins, no run;
6.6;1;Neser to Gubbins, 1 run;
6.5;?;Neser to Gubbins, no run;
6.4;?;Neser to Gubbins, no run;
6.4;1w;Neser to Gubbins, 1 wide;
6.3;1;Neser to Holden, 1 run;
6.2;4;Neser to Holden, FOUR runs;
6.1;?;Neser to Holden, no run;
5.6;?;Kane Richardson to Gubbins, no run;
5.5;?;Kane Richardson to Gubbins, no run;
5.4;2;Kane Richardson to Gubbins, 2 runs;
5.3;?;Kane Richardson to Gubbins, no run;
5.2;?;Kane Richardson to Gubbins, no run;
5.1;?;Kane Richardson to Gubbins, no run;
4.6;4;Stanlake to Holden, FOUR runs;
4.5;1;Stanlake to Gubbins, 1 run;
4.4;1;Stanlake to Holden, 1 run;
4.3;?;Stanlake to Holden, no run;
4.2;4;Stanlake to Holden, FOUR runs;
4.1;2;Stanlake to Holden, 2 runs;
3.6;4;Kane Richardson to Gubbins, FOUR runs;
3.5;?;Kane Richardson to Gubbins, no run;
3.4;1;Kane Richardson to Holden, 1 run;
3.3;?;Kane Richardson to Holden, no run;
3.2;1;Kane Richardson to Gubbins, 1 run;
3.1;?;Kane Richardson to Gubbins, no run;
2.6;?;Stanlake to Holden, no run;
