Data
Match State: Innings Break
57.2;W;O'Keefe to Fernando, OUT;Dilhara Fernando c Smith b O'Keefe 1 (7b 0x4 0x6) SR: 14.28;
105.1;?;Jayasuriya to O'Keefe, no run;
104.6;?;Gunaratne to Starc, no run;
104.5;?;Gunaratne to Starc, no run;
104.4;?;Gunaratne to Starc, no run;
104.3;4;Gunaratne to Starc, FOUR runs;
104.2;1;Gunaratne to O'Keefe, 1 run;
104.1;?;Gunaratne to O'Keefe, no run;
103.6;?;Jayasuriya to Starc, no run;
103.5;?;Jayasuriya to Starc, no run;
103.4;?;Jayasuriya to Starc, no run;
103.3;?;Jayasuriya to Starc, no run;
103.2;?;Jayasuriya to Starc, no run;
103.1;?;Jayasuriya to Starc, no run;
102.6;1;Shanaka to Starc, 1 run;
102.5;?;Shanaka to Starc, no run;
102.4;4;Shanaka to Starc, FOUR runs;
102.3;?;Shanaka to Starc, no run;
102.2;1;Shanaka to O'Keefe, 1 run;
102.1;?;Shanaka to O'Keefe, no run;
101.6;4;Jayasuriya to Starc, FOUR runs;
101.5;?;Jayasuriya to Starc, no run;
101.4;1;Jayasuriya to O'Keefe, 1 run;
101.3;2;Jayasuriya to O'Keefe, 2 runs;
101.2;1;Jayasuriya to Starc, 1 run;
101.1;?;Jayasuriya to Starc, no run;
100.6;?;Shanaka to O'Keefe, no run;
100.5;?;Shanaka to O'Keefe, no run;
100.4;1;Shanaka to Starc, 1 run;
100.3;?;Shanaka to Starc, no run;
100.2;?;Shanaka to Starc, no run;
100.1;?;Shanaka to Starc, no run;
99.6;?;Jayasuriya to O'Keefe, no run;
99.5;1;Jayasuriya to Starc, 1 run;
99.4;?;Jayasuriya to Starc, no run;
99.3;?;Jayasuriya to Starc, no run;
99.2;?;Jayasuriya to Starc, no run;
99.1;?;Jayasuriya to Starc, no run;
98.6;3;Shanaka to Starc, 3 runs;
98.5;?;Shanaka to Starc, no run;
98.4;?;Shanaka to Starc, no run;
98.3;W;Shanaka to Nevill, OUT;Peter Nevill lbw b Shanaka 25 (67b 1x4 0x6) SR: 37.31;
98.2;?;Shanaka to Nevill, no run;
98.1;?;Shanaka to Nevill, no run;
97.6;?;de Silva to O'Keefe, no run;
97.5;3;de Silva to Nevill, 3 runs;
97.4;?;de Silva to Nevill, no run;
97.3;?;de Silva to Nevill, no run;
97.2;?;de Silva to Nevill, no run;
97.1;?;de Silva to Nevill, no run;
96.6;4;Perera to O'Keefe, FOUR runs;
96.5;?;Perera to O'Keefe, no run;
96.4;1;Perera to Nevill, 1 run;
96.3;?;Perera to Nevill, no run;
96.2;?;Perera to Nevill, no run;
96.1;?;Perera to Nevill, no run;
95.6;?;de Silva to O'Keefe, no run;
95.5;?;de Silva to O'Keefe, no run;
95.4;1;de Silva to Nevill, 1 run;
95.3;?;de Silva to Nevill, no run;
95.2;1;de Silva to O'Keefe, 1 run;
95.1;1;de Silva to Nevill, 1 run;
94.6;?;Perera to O'Keefe, no run;
94.5;?;Perera to O'Keefe, no run;
94.4;?;Perera to O'Keefe, no run;
94.3;?;Perera to O'Keefe, no run;
94.2;?;Perera to O'Keefe, no run;
94.1;4;Perera to O'Keefe, FOUR runs;
93.6;1;Jayasuriya to O'Keefe, 1 run;
93.5;?;Jayasuriya to O'Keefe, no run;
93.4;?;Jayasuriya to O'Keefe, no run;
93.3;1;Jayasuriya to Nevill, 1 run;
