Data
36.1;W;Neser to Wiese, OUT;David Wiese c ?Paine b Neser 3 (10m 10b 0x4 0x6) SR: 30;
35.6;?;Agar to Evans, no run;
35.5;6;Agar to Evans, SIX runs;
35.4;1;Agar to Wiese, 1 run;
35.3;1;Agar to Evans, 1 run;
35.2;?;Agar to Evans, no run;
35.1;1;Agar to Wiese, 1 run;
34.6;1;Neser to Wiese, 1 run;
34.6;1w;Neser to Wiese, 1 wide;
34.5;?;Neser to Wiese, no run;
34.4;?;Neser to Wiese, no run;
34.3;?;Neser to Wiese, no run;
34.2;?;Neser to Wiese, no run;
34.1;1;Neser to Evans, 1 run;
33.6;?;Agar to Wiese, no run;
33.5;?;Agar to Wiese, no run;
33.4;W;Agar to Brown, OUT;Ben Brown lbw b Agar 17 (31m 23b 1x4 0x6) SR: 73.91;
33.3;1;Agar to Evans, 1 run;
33.2;1;Agar to Brown, 1 run;
33.1;1;Agar to Evans, 1 run;
32.6;2;Neser to Brown, 2 runs;
32.5;1;Neser to Evans, 1 run;
32.4;1;Neser to Brown, 1 run;
32.3;4lb;Neser to Brown, 4 leg byes;
32.2;?;Neser to Brown, no run;
32.1;1;Neser to Evans, 1 run;
31.6;1;Tye to Evans, 1 run;
31.5;?;Tye to Evans, no run;
31.4;1;Tye to Brown, 1 run;
31.3;2;Tye to Brown, 2 runs;
31.2;1;Tye to Evans, 1 run;
31.1;?;Tye to Evans, no run;
30.6;1;Kane Richardson to Evans, 1 run;
30.5;?;Kane Richardson to Evans, no run;
30.4;?;Kane Richardson to Evans, no run;
30.3;4;Kane Richardson to Evans, FOUR runs;
30.2;1;Kane Richardson to Brown, 1 run;
30.1;1;Kane Richardson to Evans, 1 run;
29.6;1;Tye to Evans, 1 run;
29.5;1;Tye to Brown, 1 run;
29.4;?;Tye to Brown, no run;
29.3;?;Tye to Brown, no run;
29.2;?;Tye to Brown, no run;
29.1;?;Tye to Brown, no run;
28.6;?;Kane Richardson to Evans, no run;
28.5;1;Kane Richardson to Brown, 1 run;
28.4;?;Kane Richardson to Brown, no run;
28.3;?;Kane Richardson to Brown, no run;
28.2;1;Kane Richardson to Evans, 1 run;
28.1;1;Kane Richardson to Brown, 1 run;
27.6;?;Tye to Evans, no run;
27.5;6;Tye to Evans, SIX runs;
27.4;?;Tye to Evans, no run;
27.3;?;Tye to Evans, no run;
27.2;?;Tye to Evans, no run;
27.1;1;Tye to Brown, 1 run;
26.6;?;Stoinis to Evans, no run;
26.5;1;Stoinis to Brown, 1 run;
26.4;?;Stoinis to Brown, no run;
26.3;4;Stoinis to Brown, FOUR runs;
26.2;?;Stoinis to Brown, no run;
26.1;W;Stoinis to Burgess, OUT;Michael Burgess b Stoinis 6 (10m 10b 0x4 0x6) SR: 60;
25.6;1;Agar to Burgess, 1 run;
25.5;1;Agar to Evans, 1 run;
25.4;1;Agar to Burgess, 1 run;
25.3;?;Agar to Burgess, no run;
25.2;2;Agar to Burgess, 2 runs;
25.1;?;Agar to Burgess, no run;
24.6;?;Stoinis to Evans, no run;
24.5;?;Stoinis to Evans, no run;
24.4;?;Stoinis to Evans, no run;
24.3;?;Stoinis to Evans, no run;
24.2;1;Stoinis to Burgess, 1 run;
24.1;1;Stoinis to Evans, 1 run;
23.6;1;Agar to Evans, 1 run;
23.5;1;Agar to Burgess, 1 run;
23.4;?;Agar to Burgess, no run;
23.3;?;Agar to Burgess, no run;
23.2;W;Agar to Finch, OUT;Harry Finch c & b Agar 45 (80m 57b 5x4 1x6) SR: 78.94;
23.1;1;Agar to Evans, 1 run;
22.6;1;Stoinis to Evans, 1 run;
22.5;?;Stoinis to Evans, no run;
22.4;1;Stoinis to Finch, 1 run;
22.3;1;Stoinis to Evans, 1 run;
22.2;1;Stoinis to Finch, 1 run;
22.1;1;Stoinis to Evans, 1 run;
21.6;1;Agar to Evans, 1 run;
21.5;1;Agar to Finch, 1 run;
21.4;?;Agar to Finch, no run;
21.3;?;Agar to Finch, no run;
21.2;?;Agar to Finch, no run;
21.1;?;Agar to Finch, no run;
20.6;4;Jhye Richardson to Evans, FOUR runs;
20.5;2;Jhye Richardson to Evans, 2 runs;
20.4;?;Jhye Richardson to Evans, no run;
20.3;?;Jhye Richardson to Evans, no run;
20.2;1;Jhye Richardson to Finch, 1 run;
20.1;?;Jhye Richardson to Finch, no run;
19.6;1;Agar to Finch, 1 run;
19.5;1;Agar to Evans, 1 run;
19.4;1;Agar to Finch, 1 run;
19.3;1;Agar to Evans, 1 run;
