Data
Match State: Tea - Day 1
52.4;?;von Berg to Marsh, no run;
52.3;?;von Berg to Marsh, no run;
52.2;1;von Berg to Paine, 1 run;
52.1;1;von Berg to Marsh, 1 run;
51.6;?;Siboto to Paine, no run;
51.5;1;Siboto to Marsh, 1 run;
51.4;?;Siboto to Marsh, no run;
51.3;?;Siboto to Marsh, no run;
51.2;?;Siboto to Marsh, no run;
51.1;?;Siboto to Marsh, no run;
50.6;?;von Berg to Paine, no run;
50.5;1;von Berg to Marsh, 1 run;
50.4;4;von Berg to Marsh, FOUR runs;
50.3;?;von Berg to Marsh, no run;
50.2;?;von Berg to Marsh, no run;
50.1;?;von Berg to Marsh, no run;
49.6;?;Siboto to Paine, no run;
49.5;?;Siboto to Paine, no run;
49.4;?;Siboto to Paine, no run;
49.3;?;Siboto to Paine, no run;
49.2;?;Siboto to Paine, no run;
49.1;2;Siboto to Paine, 2 runs;
48.6;?;Hendricks to Marsh, no run;
48.5;1;Hendricks to Paine, 1 run;
48.4;?;Hendricks to Paine, no run;
48.3;1;Hendricks to Marsh, 1 run;
48.2;?;Hendricks to Marsh, no run;
48.1;?;Hendricks to Marsh, no run;
47.6;?;Siboto to Paine, no run;
47.5;?;Siboto to Paine, no run;
47.4;1;Siboto to Marsh, 1 run;
47.3;?;Siboto to Marsh, no run;
47.2;?;Siboto to Marsh, no run;
47.1;?;Siboto to Marsh, no run;
47.1;1w;Siboto to Marsh, 1 wide;
46.6;?;Hendricks to Paine, no run;
46.5;?;Hendricks to Paine, no run;
46.4;?;Hendricks to Paine, no run;
46.3;?;Hendricks to Paine, no run;
46.2;?;Hendricks to Paine, no run;
46.1;1;Hendricks to Marsh, 1 run;
45.6;?;Mulder to Paine, no run;
45.5;?;Mulder to Paine, no run;
45.4;4;Mulder to Paine, FOUR runs;
45.3;?;Mulder to Paine, no run;
45.2;?;Mulder to Paine, no run;
45.1;?;Mulder to Paine, no run;
44.6;?;Hendricks to Marsh, no run;
44.5;?;Hendricks to Marsh, no run;
44.4;?;Hendricks to Marsh, no run;
44.3;?;Hendricks to Marsh, no run;
44.2;?;Hendricks to Marsh, no run;
44.1;1;Hendricks to Paine, 1 run;
43.6;2;Mulder to Marsh, 2 runs;
43.5;4;Mulder to Marsh, FOUR runs;
43.4;?;Mulder to Marsh, no run;
43.3;4;Mulder to Marsh, FOUR runs;
43.2;?;Mulder to Marsh, no run;
43.1;?;Mulder to Marsh, no run;
42.6;4;Hendricks to Paine, FOUR runs;
42.5;?;Hendricks to Paine, no run;
42.4;W;Hendricks to Bancroft, OUT;Cameron Bancroft c ?Second b Hendricks 45 (188m 123b 5x4 0x6) SR: 36.58;
42.3;?;Hendricks to Bancroft, no run;
42.2;?;Hendricks to Bancroft, no run;
42.1;?;Hendricks to Bancroft, no run;
41.6;?;Mulder to Marsh, no run;
41.5;?;Mulder to Marsh, no run;
41.4;?;Mulder to Marsh, no run;
41.3;1;Mulder to Bancroft, 1 run;
41.2;?;Mulder to Bancroft, no run;
41.1;?;Mulder to Bancroft, no run;
40.6;?;Hendricks to Marsh, no run;
40.5;?;Hendricks to Marsh, no run;
40.4;?;Hendricks to Marsh, no run;
40.3;?;Hendricks to Marsh, no run;
40.2;?;Hendricks to Marsh, no run;
40.1;6;Hendricks to Marsh, SIX runs;
39.6;?;Mulder to Bancroft, no run;
