Data
49.6;W;Topley to Cummins, OUT;Pat Cummins c Cook b Topley 2 (3m 3b 0x4 0x6) SR: 66.66;
22.3;4;Watson to Foster, FOUR runs;
22.2;?;Watson to Foster, no run;
22.1;4;Watson to Foster, FOUR runs;
21.6;?;Doherty to Smith, no run;
21.5;1;Doherty to Foster, 1 run;
21.4;1;Doherty to Smith, 1 run;
21.3;?;Doherty to Smith, no run;
21.2;?;Doherty to Smith, no run;
21.1;1;Doherty to Foster, 1 run;
20.6;?;Watson to Smith, no run;
20.5;W;Watson to Bopara, OUT;Ravi Bopara c ?Wade b Watson 39 (74m 54b 6x4 0x6) SR: 72.22;
20.4;?;Watson to Bopara, no run;
20.3;?;Watson to Bopara, no run;
20.2;?;Watson to Bopara, no run;
20.1;?;Watson to Bopara, no run;
19.6;2;McKay to Foster, 2 runs;
19.5;2;McKay to Foster, 2 runs;
19.4;4;McKay to Foster, FOUR runs;
19.4;1nb;McKay to Foster, (no ball);
19.3;4;McKay to Foster, FOUR runs;
19.2;?;McKay to Foster, no run;
19.1;4;McKay to Foster, FOUR runs;
18.6;4;Watson to Bopara, FOUR runs;
18.5;4;Watson to Bopara, FOUR runs;
18.4;1;Watson to Foster, 1 run;
18.3;1;Watson to Bopara, 1 run;
18.2;?;Watson to Bopara, no run;
18.1;1;Watson to Foster, 1 run;
17.6;1;McKay to Foster, 1 run;
17.5;?;McKay to Foster, no run;
17.4;?;McKay to Foster, no run;
17.3;?;McKay to Foster, no run;
17.2;1;McKay to Bopara, 1 run;
17.1;?;McKay to Bopara, no run;
16.6;4;Lee to Foster, FOUR runs;
16.5;1;Lee to Bopara, 1 run;
16.4;?;Lee to Bopara, no run;
16.3;1;Lee to Foster, 1 run;
16.2;?;Lee to Foster, no run;
16.1;?;Lee to Foster, no run;
15.6;1;Doherty to Foster, 1 run;
15.5;1;Doherty to Bopara, 1 run;
15.4;1;Doherty to Foster, 1 run;
15.3;1;Doherty to Bopara, 1 run;
15.2;?;Doherty to Bopara, no run;
15.1;1;Doherty to Foster, 1 run;
14.6;?;Lee to Bopara, no run;
14.5;1;Lee to Foster, 1 run;
14.4;?;Lee to Foster, no run;
14.3;?;Lee to Foster, no run;
14.2;?;Lee to Foster, no run;
14.1;W;Lee to Bopara, OUT;Ryan ten Doeschate run out (McKay) 15 (34m 18b 0x4 1x6) SR: 83.33;
13.6;?;Doherty to Ryan ten Doeschate, no run;
13.5;1;Doherty to Bopara, 1 run;
13.4;1;Doherty to Ryan ten Doeschate, 1 run;
13.3;?;Doherty to Ryan ten Doeschate, no run;
13.2;1;Doherty to Bopara, 1 run;
13.1;4;Doherty to Bopara, FOUR runs;
12.6;1;Cummins to Bopara, 1 run;
12.5;?;Cummins to Bopara, no run;
12.4;?;Cummins to Bopara, no run;
12.3;?;Cummins to Bopara, no run;
12.2;?;Cummins to Bopara, no run;
12.1;?;Cummins to Bopara, no run;
11.6;6;Doherty to Ryan ten Doeschate, SIX runs;
11.5;?;Doherty to Ryan ten Doeschate, no run;
11.4;3;Doherty to Bopara, 3 runs;
11.3;1;Doherty to Ryan ten Doeschate, 1 run;
11.2;?;Doherty to Ryan ten Doeschate, no run;
