Data
1.1;W;Hall to Gilchrist, OUT;Adam Gilchrist lbw b Hall 1 (6m 2b 0x4 0x6) SR: 50;
0.6;4;Ntini to Katich, FOUR runs;
0.5;4;Ntini to Katich, FOUR runs;
0.4;2;Ntini to Katich, 2 runs;
0.3;4;Ntini to Katich, FOUR runs;
0.2;?;Ntini to Katich, no run;
0.1;1;Ntini to Gilchrist, 1 run;
0.1;1w;Ntini to Gilchrist, 1 wide;

 Innings Start
South Africa
Australia
Only T20I (N), Johannesburg, Feb 24 2006, Australia tour of South Africa
201/4
199/7
Player of the match is Graeme Smith, SA
South Africa won by 2 runs
