Data
55.2;?;Gleeson to Siddle, no run;
55.1;4;Gleeson to Siddle, FOUR runs;
54.6;?;Crook to Cummins, no run;
54.5;?;Crook to Cummins, no run;
54.4;?;Crook to Cummins, no run;
54.3;1lb;Crook to Siddle, 1 leg bye;
54.2;?;Crook to Siddle, no run;
54.1;?;Crook to Siddle, no run;
53.6;?;Gleeson to Cummins, no run;
53.5;?;Gleeson to Cummins, no run;
53.4;W;Gleeson to Marsh, OUT;Mitchell Marsh b Gleeson 68 (145m 116b 11x4 1x6) SR: 58.62;
53.3;?;Gleeson to Marsh, no run;
53.2;?;Gleeson to Marsh, no run;
53.1;2;Gleeson to Marsh, 2 runs;
52.6;2;Crook to Siddle, 2 runs;
52.5;?;Crook to Siddle, no run;
52.4;?;Crook to Siddle, no run;
52.3;?;Crook to Siddle, no run;
52.2;?;Crook to Siddle, no run;
52.1;?;Crook to Siddle, no run;
51.6;1;Keogh to Siddle, 1 run;
51.5;?;Keogh to Siddle, no run;
51.4;?;Keogh to Siddle, no run;
51.3;1;Keogh to Marsh, 1 run;
51.2;6;Keogh to Marsh, SIX runs;
51.1;?;Keogh to Marsh, no run;
50.6;?;Crook to Siddle, no run;
50.5;?;Crook to Siddle, no run;
50.4;1;Crook to Marsh, 1 run;
50.3;?;Crook to Marsh, no run;
50.2;1;Crook to Siddle, 1 run;
50.1;?;Crook to Siddle, no run;
49.6;?;Keogh to Marsh, no run;
49.5;?;Keogh to Marsh, no run;
49.4;?;Keogh to Marsh, no run;
49.3;?;Keogh to Marsh, no run;
49.2;4;Keogh to Marsh, FOUR runs;
49.1;?;Keogh to Marsh, no run;
48.6;?;Crook to Siddle, no run;
48.5;W;Crook to Nevill, OUT;Peter Nevill b Crook 25 (81m 55b 2x4 0x6) SR: 45.45;
48.4;2;Crook to Nevill, 2 runs;
48.3;?;Crook to Nevill, no run;
48.2;4;Crook to Nevill, FOUR runs;
48.1;3;Crook to Marsh, 3 runs;
47.6;?;Keogh to Nevill, no run;
47.5;2;Keogh to Nevill, 2 runs;
47.4;?;Keogh to Nevill, no run;
47.3;?;Keogh to Nevill, no run;
47.2;?;Keogh to Nevill, no run;
47.1;?;Keogh to Nevill, no run;
46.6;?;Sanderson to Marsh, no run;
46.5;?;Sanderson to Marsh, no run;
46.4;?;Sanderson to Marsh, no run;
46.3;?;Sanderson to Marsh, no run;
46.2;?;Sanderson to Marsh, no run;
46.1;1;Sanderson to Nevill, 1 run;
45.6;4;Chambers to Marsh, FOUR runs;
45.5;2;Chambers to Marsh, 2 runs;
45.4;?;Chambers to Marsh, no run;
45.3;?;Chambers to Marsh, no run;
45.2;?;Chambers to Marsh, no run;
45.1;1;Chambers to Nevill, 1 run;
44.6;?;Sanderson to Marsh, no run;
44.5;?;Sanderson to Marsh, no run;
44.4;?;Sanderson to Marsh, no run;
44.3;?;Sanderson to Marsh, no run;
44.2;?;Sanderson to Marsh, no run;
44.1;?;Sanderson to Marsh, no run;
43.6;?;Chambers to Nevill, no run;
43.5;?;Chambers to Nevill, no run;
43.4;?;Chambers to Nevill, no run;
43.4;1w;Chambers to Nevill, 1 wide;
43.3;4;Chambers to Nevill, FOUR runs;
43.2;?;Chambers to Nevill, no run;
43.1;2;Chambers to Nevill, 2 runs;
42.6;?;Sanderson to Marsh, no run;
42.5;?;Sanderson to Marsh, no run;
42.4;?;Sanderson to Marsh, no run;
42.3;?;Sanderson to Marsh, no run;
42.2;?;Sanderson to Marsh, no run;
42.1;?;Sanderson to Marsh, no run;
41.6;?;Chambers to Nevill, no run;
41.5;1;Chambers to Marsh, 1 run;
41.4;?;Chambers to Marsh, no run;
41.3;?;Chambers to Marsh, no run;
41.2;?;Chambers to Marsh, no run;
41.1;?;Chambers to Marsh, no run;
40.6;?;Sanderson to Nevill, no run;
40.5;?;Sanderson to Nevill, no run;
40.4;?;Sanderson to Nevill, no run;
40.3;?;Sanderson to Nevill, no run;
40.2;?;Sanderson to Nevill, no run;
40.1;?;Sanderson to Nevill, no run;
39.6;?;Chambers to Marsh, no run;
39.5;?;Chambers to Marsh, no run;
39.4;4;Chambers to Marsh, FOUR runs;
39.3;?;Chambers to Marsh, no run;
39.2;?;Chambers to Marsh, no run;
39.1;?;Chambers to Marsh, no run;
38.6;?;Sanderson to Nevill, no run;
38.5;?;Sanderson to Nevill, no run;
38.4;?;Sanderson to Nevill, no run;
38.3;?;Sanderson to Nevill, no run;
38.2;?;Sanderson to Nevill, no run;
