Data
A highly competitive score by Australia, but given the pitch and going by past records, South Africa will fancy chasing this one. At one stage, with Clarke and Haddin going strong, it seemed as though a score of well above 350 was in the offing, but the spinners, as they did in the previous game, pulled it back for South Africa, with van der Merwe and the surprise package Duminy taking five wickets between them to curtail Australia in the middle stages.
Ferguson proved an important wicket as he had brought the momentum back with the visitors with a fluent 41 and the openers had departed. Ponting got a start but never looked dominant; and Hussey, along with Hauritz, dealt some useful blows in the end to take his team past 300. South Africa, though, have the wherewithal to chase this down, but with the pitch getting a little slow, their task may not be all that easy. Join us in about 30 minutes for the run-chase.
20.4;?;van der Merwe to Ponting, no run tossed up, lands on a teasing length outside off and spins away sharply to beat Ponting as gets forward to defend;
20.3;1;van der Merwe to Clarke, 1 run flat on the off stump, is down the track and bunts it to long-off;
20.2;?;van der Merwe to Clarke, no run short and wide, makes room for a cut, spins away and keeps a touch low to beat the outside edge;
20.1;?;van der Merwe to Clarke, no run quicker one bowled full on middle, comes down the track and pushes it to midwicket;
19.6;?;Morkel to Ponting, no run beaten! Held it back just a touch and got it to move away from Ponting who was sucked into the drive, hung his bat out and missed;
19.5;?;Morkel to Ponting, no run yorker length on middle, dug out towards mid-on, good stuff from Albie;
19.4;?;Morkel to Ponting, no run fullish on the off stump, pushed through into the off side;
19.3;1;Morkel to Clarke, 1 run full on middle and leg, driven through the line to long-on;
19.2;?;Morkel to Clarke, no run yorker on middle, dug out well into the off side and he jams his bat into the pitch soon after playing the shot, the bat splits and he's called for a change;
19.1;W;Morkel to Haddin, OUT he's got him! SA following up well on that maiden, full on the off stump, Haddin makes room to cart that over the infield on the off side, ends up slicing it really high and Duminy at deep cover, positioned perfectly, just had to take few steps to his right to complete an easy catch;Brad Haddin c Duminy b JA Morkel 62 (81m 64b 7x4 1x6) SR: 96.87;
18.6;4;van der Merwe to Clarke, FOUR runs spoils a good over, short on middle and spins away, makes room and cuts it away well wide of point;
18.5;?;van der Merwe to Clarke, no run flighted on middle, comes down the track and drives it to cover;
18.4;?;van der Merwe to Clarke, no run flighted on middle and leg and angling down, tries to drive it past midwicket, is hit on the pads;
18.3;1;van der Merwe to Haddin, 1 run flat and quick outside off, pushed into the off side wide of cover;
18.2;?;van der Merwe to Haddin, no run quicker one bowled on middle and leg, defended with a big stride forward;
18.1;1;van der Merwe to Clarke, 1 run flighted on the off stump, is down the track and drives it through the line to long-off;
17.6;?;Morkel to Haddin, no run Well done, Morne! Full on the off stump, driven straight to Gibbs at short cover, the first maiden of the day and the crowd cheer as though he has just taken a wicket;
17.5;?;Morkel to Haddin, no run straying on the pads and Haddin misses out, tries to glance it fine, misses and is hit on the legs;
17.4;?;Morkel to Haddin, no run and one more, much fuller, driven back to the bowler who fields well on the follow through;
17.3;?;Morkel to Haddin, no run better, bowled at 137.8 kmph, cramping Haddin for room here, on middle and leg, turned to midwicket, three dot balls;
17.2;?;Morkel to Haddin, no run short again but on the stumps, defended watchfully;
17.1;?;Morkel to Haddin, no run short of a length outside off, chopped down towards point;
16.6;?;van der Merwe to Clarke, no run quicker one bowled full on the off stump, pushed towards extra cover, good comeback after being hit for four off the first ball;
16.5;?;van der Merwe to Clarke, no run;
16.4;1;van der Merwe to Haddin, 1 run short on middle and leg, punched down the ground to long-on;
16.3;?;van der Merwe to Haddin, no run dipping into the right hander, driven hard but straight towards extra cover;
16.2;?;van der Merwe to Haddin, no run tossed up on middle, pushed back to the bowler;
16.1;4;van der Merwe to Haddin, FOUR runs shot of the day, tossed up on the off stump, gives himself some space and creams it through the gap between cover and mid-off, the crowd is mum;
15.6;1;Morkel to Haddin, 1 run short of a length, much closer to the off stump, chopped down to third man;
15.5;1;Morkel to Clarke, 1 run on middle and off, tries to drive it in the cover region, gets a thick inside edge behind square for a single;
